GrLivArea,BedroomAbvGr,FullBath,HalfBath,OverallQual,OverallCond,YearBuilt,YearRemodAdd,LotArea,GarageArea,nbhd_high,nbhd_mid,SalePrice
1225,3,1,1,4,5,1959,1959,9320,0,0,0,128950
1610,3,2,0,6,7,1977,2001,10603,480,0,1,205000
1732,3,2,1,6,5,1985,1985,9206,476,0,1,178000
1535,4,2,0,5,5,1979,1979,7018,410,0,1,118964
1226,3,2,0,7,5,2009,2009,10402,740,0,1,198900
1818,4,1,1,7,4,1931,1950,7758,240,0,0,169500
1992,3,2,1,8,5,2003,2004,9375,648,0,1,250000
1047,2,1,0,4,7,1885,1995,10800,273,0,0,100000
789,2,1,0,5,5,1948,1950,6000,250,0,0,115000
1517,3,2,0,5,7,1919,2005,8500,0,0,0,115000
1844,3,2,0,6,6,1977,1977,11751,546,0,1,190000
1855,4,2,0,6,4,1954,1972,9525,325,0,0,136900
1430,3,2,1,7,5,2000,2000,7750,400,0,1,180000
2696,4,2,1,7,5,2007,2007,9965,792,0,1,383970
2259,3,2,0,6,5,1953,1953,21000,450,0,1,217000
2320,3,2,1,6,8,1945,2002,7259,180,0,1,259500
1458,2,2,1,6,5,1999,1999,3230,440,0,1,176000
1092,3,1,0,5,5,1962,1962,11616,288,0,0,139000
1125,2,1,1,5,5,2006,2007,8536,430,0,0,155000
3222,5,3,0,7,5,1990,1990,12376,594,0,1,320000
1456,3,2,1,6,5,2005,2006,8461,390,0,1,163990
988,1,1,0,6,5,1969,1969,21453,540,0,1,180000
1123,3,1,0,4,5,1939,1950,6060,264,0,0,100000
1080,3,1,0,6,7,1958,1958,9464,288,0,0,136000
1199,2,2,0,6,5,1993,1993,7892,530,0,1,153900
1586,3,2,0,6,5,1979,1998,17043,435,0,1,181000
754,2,1,0,6,8,1935,1982,6780,0,0,0,84500
958,2,2,0,6,5,1976,1976,4928,440,0,0,128000
840,3,1,0,5,7,1930,1950,4388,0,0,0,87000
1348,3,1,1,6,5,1966,1966,7590,453,0,0,155000
1053,3,1,1,5,7,1958,1991,8973,750,0,0,150000
2157,4,2,1,7,6,1966,1966,14200,487,0,0,226000
2054,3,2,1,6,5,2000,2000,12224,390,0,1,244000
1327,3,1,0,5,6,1959,2002,7388,624,0,0,150750
1296,2,2,0,8,5,2001,2002,6853,471,1,0,220000
1721,3,2,1,5,6,1968,1993,10335,440,0,0,180000
1682,3,2,0,7,6,1970,1970,10400,530,0,1,174000
1214,3,2,0,5,5,1967,1967,10355,318,0,0,143000
1959,5,3,0,7,5,1988,1989,11070,766,0,1,171000
1852,3,2,1,8,5,1999,2000,9066,660,0,1,230000
1764,3,2,1,6,5,1997,1997,15426,470,0,1,231500
864,3,1,0,4,5,1971,1971,10500,0,0,0,115000
1734,3,2,0,7,5,2005,2005,11645,660,0,1,260000
1385,4,2,0,5,4,1952,1952,8520,720,0,0,166000
1501,3,2,0,7,5,1999,1999,10335,577,0,1,204000
1728,6,2,0,5,5,1963,1963,9100,504,0,0,125000
1709,3,2,0,6,5,2004,2006,2522,380,0,0,130000
875,2,1,0,5,7,1931,1993,6120,180,0,0,105000
2035,3,2,1,7,5,2001,2001,9505,434,0,1,222500
1080,3,1,0,7,5,2004,2005,7500,0,0,1,141000
1344,3,1,0,5,4,1936,1950,6240,240,0,0,115000
969,3,1,1,5,6,1975,1975,10356,440,0,1,122000
1710,2,2,0,8,5,2007,2008,13891,866,1,0,372402
1993,4,2,1,6,5,1971,1971,14803,495,0,1,190000
1252,1,1,0,6,7,1960,1975,13500,564,0,1,235000
1200,4,1,0,6,5,1923,1950,11340,312,0,0,125000
1096,2,1,0,6,5,1924,1950,9600,0,0,0,79000
1040,2,1,0,5,7,1950,1950,7200,625,0,0,109500
1968,4,2,1,8,5,2009,2010,12003,680,1,0,269500
1947,3,2,1,7,5,2004,2005,12552,678,0,1,254900
2462,4,2,1,7,5,2005,2006,19378,576,0,1,320000
1232,3,2,0,6,6,1984,1984,11120,516,1,0,162500
2668,3,2,1,9,5,2003,2004,13688,726,1,0,412500
1541,3,2,0,7,5,2005,2005,12182,532,1,0,220000
882,1,1,0,4,6,1956,1956,5500,0,0,0,103200
1616,3,2,0,6,7,1926,2004,5400,216,0,0,152000
1355,4,2,0,5,7,1940,1999,10106,0,0,0,127500
1867,2,1,0,5,5,1955,1993,10708,303,0,1,190000
2161,3,1,1,8,5,2007,2007,10562,789,1,0,325624
1720,3,2,1,7,5,2004,2004,8244,440,0,1,183500
1707,2,2,1,8,6,1981,1981,16669,511,1,0,228000
1382,2,1,1,5,6,1941,1950,12358,660,0,0,128500
1656,3,1,0,6,5,1960,1960,31770,528,0,0,215000
1767,2,2,0,7,7,1987,1987,5306,504,1,0,239000
1362,3,1,1,6,5,1961,1961,10197,504,0,0,163000
1651,3,2,0,6,5,1986,1986,12416,616,1,0,184000
2158,4,2,0,6,7,1950,2001,12615,576,0,0,243000
2060,4,2,1,6,5,1988,1989,10029,521,0,1,211000
1920,4,2,0,5,5,1958,1958,13650,451,0,0,172500
2234,1,2,0,9,5,2008,2009,17423,1166,1,0,501837
968,2,1,0,5,6,1923,2006,8520,480,0,0,100000
1525,3,2,1,6,5,2000,2000,2117,440,0,1,177000
1802,4,1,1,7,6,1920,1950,7588,216,0,1,200100
1340,3,1,0,5,6,1957,2006,9060,252,0,0,120000
2082,3,2,1,7,5,2003,2003,11426,484,0,0,200000
1252,3,1,0,5,8,1908,1991,7438,576,0,0,127000
3608,4,2,1,10,9,1892,1993,22950,840,0,0,475000
1217,3,2,0,7,5,1990,1991,9947,497,0,1,173000
1656,3,2,1,5,7,1916,1987,10410,180,0,0,135000
1224,2,0,2,5,5,1979,1979,7018,528,0,1,153337
1593,0,1,1,8,5,2001,2002,4923,682,1,0,286000
2727,3,2,1,8,8,1932,1994,10570,440,0,1,315000
1479,4,1,1,7,9,1972,2004,7472,484,0,0,184000
1431,3,2,0,7,5,1999,1999,9017,666,0,1,192000
1709,3,2,0,7,5,2004,2004,2522,380,0,0,130000
864,3,1,0,5,7,1972,1972,7180,352,0,1,127000
1456,3,2,1,6,6,1976,1976,2280,440,0,0,148500
1726,3,2,0,7,5,2007,2007,9416,786,0,1,311872
3112,4,2,0,8,4,1918,1990,25419,795,0,0,235000
2229,5,1,0,6,6,1912,1950,5520,0,0,0,104000
1713,3,2,0,8,5,2004,2005,9591,856,1,0,274900
1121,2,2,0,4,5,2003,2004,8546,440,0,0,140000
1279,3,2,0,6,6,1977,1977,10125,473,0,1,171500
1310,2,2,0,6,6,1924,1950,7000,398,0,0,112000
848,1,1,0,6,5,2004,2004,4438,420,0,1,149000
1284,2,1,1,5,7,1947,1950,3500,240,0,0,110000
1442,3,2,0,7,5,1990,1990,11851,500,0,1,180500
1696,3,1,1,5,5,1962,1962,13673,349,0,0,143900
1100,3,1,0,4,5,1960,1960,12493,312,0,0,141000
2062,3,2,1,7,5,1988,1989,14364,454,0,1,277000
1092,3,1,0,6,7,1964,1964,8250,504,0,0,145000
864,2,1,0,5,6,1925,1950,5604,0,0,0,98000
1212,3,2,0,6,5,2009,2009,10420,460,0,0,186000
1852,3,2,1,7,5,2009,2009,8640,644,0,1,252678
990,3,1,0,5,5,1995,1995,13568,576,0,1,156000
1392,3,1,1,6,7,1977,1977,10900,299,0,1,161750
1236,2,1,0,5,6,1957,1996,10011,447,0,0,134450
1436,3,2,0,7,5,2004,2004,8450,484,0,1,210000
1328,3,1,0,4,4,1925,1950,9906,210,0,0,107000
1954,3,1,1,7,9,1939,2006,15660,431,0,1,311500
1248,2,2,0,7,5,2005,2006,3010,438,0,1,167240
1498,2,2,0,7,5,2006,2006,8990,675,0,1,204900
2267,4,2,1,6,5,2002,2002,8068,390,0,1,200000
1552,3,2,1,6,6,1975,1975,11475,434,0,1,179900
864,2,1,0,4,6,1971,1971,10500,576,0,0,97000
2392,3,2,0,10,5,2003,2003,13472,968,1,0,386250
1302,3,2,1,5,5,1971,1971,1680,280,0,0,112000
2520,4,2,1,7,5,1995,1995,9950,721,1,0,290000
987,2,1,1,6,6,1970,1970,1869,280,0,0,106000
912,3,1,0,5,5,1967,1967,8521,336,0,0,125000
1555,2,2,0,7,5,2005,2006,3182,430,0,1,192500
1194,3,1,0,6,6,1959,1959,8760,312,0,0,148000
2794,4,2,1,8,5,1995,1996,15138,810,1,0,403000
987,2,1,1,6,5,1972,1972,1680,288,0,0,94500
894,3,1,0,5,6,1976,1976,10650,308,0,1,128200
1960,4,2,1,6,5,2002,2002,7851,440,0,1,216500
987,2,1,1,6,3,1971,1971,1680,264,0,0,89500
1414,3,2,0,7,5,2004,2004,8773,494,0,1,185500
1744,3,2,1,7,7,1993,2003,9453,457,0,1,194500
1694,3,2,0,8,5,2007,2007,12030,818,1,0,318000
1487,3,1,1,6,4,1945,1950,8741,220,0,0,113000
1566,3,2,0,8,5,2008,2008,9000,750,0,1,262500
866,2,1,0,5,9,1945,1997,3880,0,0,0,110500
1440,3,1,0,5,4,1900,1950,5000,352,0,0,79000
1217,3,1,1,6,6,1980,1980,10762,288,0,1,120000
2110,3,2,1,7,5,1994,2002,8880,463,0,1,205000
1872,3,2,0,7,5,1988,1988,10400,604,0,1,241500
1928,4,2,0,6,8,1910,1950,9142,440,0,0,137000
1375,2,1,0,6,5,1954,1954,11310,451,0,0,140000
1668,3,2,1,7,5,2003,2003,11317,500,0,1,180000
2144,4,2,0,6,7,1958,2006,159000,389,0,1,277000
1306,3,1,0,3,2,1940,1966,5350,0,0,0,76500
1625,2,2,0,8,5,2006,2007,4750,538,0,1,235000
1640,3,2,1,6,5,2004,2004,8366,520,0,1,173000
1302,3,2,0,6,7,1964,1991,9350,309,0,0,158000
1314,3,1,0,5,6,1957,1957,8400,294,0,0,145000
2291,4,2,1,7,5,1999,1999,8738,429,0,1,230000
1728,3,2,1,6,5,2003,2003,8791,673,0,1,207500
1604,3,2,1,7,5,2006,2006,8814,660,0,1,220000
1792,3,2,1,7,5,2001,2001,12435,564,0,1,231500
882,2,1,0,5,5,1956,1956,12702,308,0,0,97000
1382,3,1,0,6,5,1962,1962,19296,884,0,0,176000
2574,3,2,1,8,5,2007,2007,9588,868,0,1,276000
1212,3,1,0,6,7,1977,1995,8471,492,0,0,151000
1316,3,1,0,5,7,1929,2001,5500,484,0,0,130000
764,2,1,0,5,5,1925,2004,5232,504,0,0,73000
1422,3,2,0,6,6,1981,1981,12090,576,0,1,175500
1511,3,2,1,6,5,1997,1997,11207,413,0,1,185000
2192,4,2,1,5,8,1939,1997,8400,240,0,0,179500
778,2,1,0,5,6,1940,1955,6900,924,0,0,120500
1113,3,1,1,6,7,1976,1976,7917,504,0,0,148000
1939,3,2,1,8,5,2006,2006,10728,1053,0,1,266000
1363,2,1,0,7,7,1954,2005,39104,439,0,1,241500
2270,4,2,1,8,7,1999,2007,11764,671,1,0,290000
1632,3,2,0,6,6,1958,1988,9600,338,0,0,139000
816,2,1,0,5,7,1982,1982,8314,264,0,1,124500
1548,3,2,1,7,7,1925,2007,7264,672,0,0,205000
1560,3,2,0,7,5,2003,2003,9196,573,0,1,201000
864,2,1,0,4,5,1951,1951,19138,400,0,1,141000
2121,3,2,1,9,5,2006,2007,14450,732,1,0,415298
2022,4,2,1,7,5,1977,1977,10005,505,0,1,192000
1982,3,2,1,7,6,1989,1989,11287,575,0,1,228500
1262,2,2,0,6,5,2006,2006,7200,572,0,1,185000
1314,2,2,0,7,5,2007,2008,5063,626,1,0,207500
1468,3,2,0,8,5,2008,2009,9612,898,0,1,244600
1575,2,2,0,6,5,1992,1992,8012,529,0,1,179200
1250,2,2,1,7,5,2006,2007,4251,528,0,1,164700
1734,3,1,1,6,7,1962,1981,9786,440,0,0,159000
858,3,1,0,4,4,1971,1971,8125,0,0,0,88000
900,3,1,0,5,5,1967,1967,9819,280,0,0,122000
1396,3,1,0,6,7,1915,2003,8730,384,0,0,153575
1919,3,2,1,8,5,2006,2006,15611,685,0,1,233230
1716,6,2,0,5,6,1912,2000,5687,0,0,0,135900
1716,3,1,1,5,4,1949,2008,11409,281,0,0,131000
2263,3,2,1,7,7,1977,1994,16659,539,0,1,235000
1644,3,1,0,6,5,1953,1953,9600,418,0,0,167000
1003,3,1,0,6,6,1984,1984,7937,588,0,1,142500
1558,4,1,1,5,5,1950,1950,13710,282,0,0,152000
1950,3,2,1,7,5,1997,1998,7399,576,0,1,239000
1743,3,1,2,6,6,1968,1968,11700,539,0,1,175000
1152,3,1,0,6,8,1950,2004,14000,300,0,1,158500
1336,2,1,0,5,5,1953,1953,15750,375,0,1,157000
2452,4,2,1,8,5,1998,1999,16226,683,0,1,267000
1541,3,2,0,7,5,2001,2002,13704,843,0,1,205000
894,3,1,0,5,7,1972,1972,9800,552,0,1,149900
3493,3,3,0,7,9,1880,2002,18386,870,0,0,295000
2000,3,2,0,8,5,2004,2005,10386,888,0,1,305900
2243,4,2,1,7,5,1990,1991,13474,746,0,1,225000
1406,3,1,0,6,7,1920,1950,7920,0,0,0,89500
861,1,1,0,4,5,1940,1950,12342,539,0,0,82500
1944,3,2,0,9,5,2003,2004,12378,708,1,0,360000
1501,3,2,1,6,5,1993,1994,7685,420,0,1,165600
972,2,1,0,6,6,1948,2002,8000,240,0,0,132000
1118,3,1,0,5,7,1939,1950,7800,410,0,0,119900
2036,3,2,0,7,5,1965,1965,215245,513,1,0,375000
1641,3,1,1,7,7,1925,1990,9600,546,0,0,178000
1432,3,2,1,7,5,2004,2005,7795,432,0,1,188500
2353,4,2,1,7,7,1980,1980,13005,484,0,1,260000
1959,3,2,1,8,5,2006,2006,9000,1025,0,1,270000
2646,4,2,1,7,5,1993,1993,9900,656,1,0,260000
1472,3,2,0,7,5,1980,1980,14115,588,0,1,187500
2596,4,3,1,9,5,2006,2006,16259,840,1,0,342643
2468,4,2,1,8,5,2004,2004,12099,872,1,0,354000
2730,4,2,1,7,5,1986,1987,10380,576,0,1,301000
1163,3,1,0,3,8,1955,2005,5820,220,0,0,126175
2978,5,2,1,7,7,1967,2007,11275,564,0,0,242000
803,2,1,0,5,6,1941,1950,5000,360,0,0,87000
1719,1,1,1,8,5,1993,1993,10846,473,1,0,324000
1383,3,1,1,6,5,1960,1960,11600,292,0,0,145250
2134,5,2,0,6,6,1916,1994,11888,441,0,0,214500
1192,3,1,0,5,5,1920,1950,6402,189,0,0,78000
1728,6,2,0,5,4,1964,1964,10624,352,0,0,119000
1056,3,1,0,5,6,1958,1992,8176,308,0,0,139000
1629,3,2,0,8,5,2003,2004,10655,880,1,0,284000
1358,2,2,0,7,5,2004,2004,8198,484,1,0,207000
1638,3,2,1,6,5,1998,1998,9042,472,0,1,192000
1786,3,2,0,5,6,1965,1965,164660,529,1,0,228950
1922,3,2,0,9,5,2005,2006,14157,676,1,0,377426
1536,3,2,0,7,5,2002,2003,9135,532,0,1,214000
1621,3,2,0,7,7,1984,1998,14145,440,0,1,202500
1215,3,1,0,6,7,1958,1998,12400,297,0,0,155000
1908,4,2,1,8,5,2002,2002,14191,431,1,0,202900
841,2,1,0,4,4,1950,1950,8400,294,0,1,82000
1040,2,2,0,3,4,1949,1950,8544,400,0,0,87500
1684,2,2,0,9,5,2005,2005,8849,564,1,0,266000
1112,3,1,1,5,3,1976,1976,2592,336,0,0,85000
1577,3,1,0,6,5,1939,1950,6435,312,0,0,140200
958,2,1,0,6,8,1960,1998,12772,301,0,0,151500
1478,3,2,0,6,5,1960,1960,17600,498,0,0,157500
1626,2,2,1,7,5,2003,2004,2448,474,1,0,154000
2728,4,2,1,9,5,2005,2006,20431,706,1,0,437154
1869,2,2,0,9,5,2007,2007,7820,617,1,0,318061
1453,2,1,1,7,5,1986,1986,5271,445,0,1,190000
1111,3,1,0,5,6,1941,1950,9084,200,0,0,95000
720,2,1,0,6,8,1928,2003,8520,484,0,0,105900
1595,2,1,0,6,5,1940,2000,8400,240,0,0,140000
1200,3,2,0,6,5,1995,1995,11249,521,0,1,177500
1167,3,2,0,6,6,1992,1992,9248,400,0,1,173000
1142,3,1,1,5,5,1976,1976,4224,528,0,0,134000
1352,3,1,0,5,4,1958,1958,6930,288,0,1,130000
1924,3,2,1,8,5,1998,1998,12011,592,1,0,280000
912,2,1,0,6,6,1978,1978,7540,470,0,1,156000
1505,3,1,0,5,5,1940,1982,9144,240,0,0,145000
1922,4,3,0,7,5,2003,2003,7301,672,0,0,198500
987,2,1,1,6,8,1972,2007,1680,264,0,0,118000
1574,3,2,1,6,5,1976,1976,18800,566,0,1,190000
1344,3,1,0,5,7,1920,1997,10690,468,0,0,147000
1394,3,1,1,6,5,1963,1963,9500,514,0,0,159000
1431,3,1,0,6,5,1962,1962,9150,296,0,0,165000
1268,2,1,0,5,6,1954,1954,7800,244,0,0,132000
1287,3,1,0,5,7,1959,2006,9830,576,0,0,162000
1664,3,2,1,6,5,2000,2000,8121,460,0,1,172400
1588,4,2,0,4,4,1959,1959,17120,680,0,1,134432
752,2,1,0,6,5,1984,1984,7175,264,0,1,125000
1319,3,1,0,5,6,1953,1953,10634,270,0,0,123000
1928,4,2,1,7,5,2003,2004,8200,434,0,1,219500
904,1,0,1,1,1,1922,1950,10020,0,0,0,61000
914,2,1,0,5,5,1996,1996,8846,576,0,1,148000
2466,4,3,0,8,5,2004,2005,11143,610,0,1,340000
1856,1,1,1,9,2,2010,2010,11394,834,1,0,394432
1800,3,2,1,6,5,2000,2000,8123,463,0,1,179000
1691,3,2,0,5,6,1924,1950,5000,308,0,0,127000
1301,2,2,0,7,5,2006,2006,7200,572,0,1,187750
1797,3,2,1,7,5,2006,2006,9245,639,0,1,213500
784,2,1,0,6,3,1928,1950,9000,360,0,1,76000
1953,3,2,1,6,5,1992,1992,53107,501,0,1,240000
1269,2,2,0,8,5,2004,2005,3182,430,0,1,192000
1184,5,1,0,5,3,1910,1996,8410,0,0,0,81000
1125,3,1,0,6,6,1976,1976,7200,352,0,0,125000
1479,3,2,0,7,5,1999,2000,9382,577,0,1,191000
2332,3,2,1,10,5,2007,2008,12474,846,1,0,426000
1367,4,1,0,5,8,1900,1950,8405,384,0,0,119000
1961,3,2,1,6,5,2001,2002,12209,560,0,1,215000
882,3,1,0,5,7,1959,1959,8339,294,0,0,106500
788,2,1,0,4,5,1941,1950,7446,0,0,0,100000
1034,2,1,0,5,6,1940,1950,10134,240,0,0,109000
1144,3,1,0,5,6,1956,1956,9571,596,0,0,129000
894,2,1,0,5,5,1972,1972,7200,600,0,1,123000
1812,4,2,0,5,5,1962,1962,7590,264,0,0,169500
1077,2,1,0,5,2,1920,1950,8967,338,0,0,67000
1550,2,2,0,7,5,2006,2007,8125,438,0,1,241000
1288,1,1,1,8,5,1996,1996,14963,500,1,0,245500
1310,3,2,0,7,5,2005,2005,8767,400,0,1,164990
672,2,1,0,5,8,1940,1997,10200,240,0,0,108000
2263,4,2,1,8,5,1998,1998,12090,420,1,0,258000
1572,3,2,1,6,5,1995,1996,10364,373,0,1,168000
1620,3,2,0,4,4,1976,1993,9991,490,0,0,150000
1639,3,1,0,6,5,1936,1950,10480,240,0,0,115000
1680,4,2,0,6,7,1915,1976,15576,308,0,1,177000
2172,3,2,1,7,5,2006,2006,14154,947,1,0,280000
2078,3,2,1,8,5,2007,2008,10800,836,0,1,339750
1276,3,1,0,5,3,1958,1958,9571,350,0,0,60000
1056,3,1,0,5,5,1955,1955,34650,572,0,1,145000
1478,2,2,1,7,5,2009,2009,4403,484,0,1,222000
1028,2,1,0,5,6,1927,1950,8960,360,0,0,115000
2097,3,2,1,7,5,1993,1993,11228,678,0,1,228000
1340,3,2,0,7,5,2007,2007,8899,396,0,1,181134
1400,3,1,1,6,7,1978,1978,7844,440,0,0,149500
2624,4,2,1,6,6,1918,1950,22420,864,0,1,239000
1134,3,1,1,5,6,1940,1950,8160,240,0,0,126000
1056,3,1,0,5,6,1968,1968,8450,304,0,0,142000
1344,2,2,0,7,5,1997,1998,7060,784,0,1,206300
1602,3,2,0,6,7,1977,2000,16635,529,0,1,215000
988,2,1,0,5,5,1954,1954,21750,520,0,1,113000
2630,4,2,1,8,5,1998,1998,9200,696,1,0,315000
1196,2,1,0,6,5,1956,1956,9000,297,0,0,139000
1389,3,1,1,7,8,1946,1992,3378,240,0,0,135000
1644,2,2,0,7,5,1989,1989,12800,569,0,1,275000
907,3,1,0,4,6,1957,1957,8593,352,0,0,109008
1208,2,2,0,7,5,2007,2007,6762,628,0,1,195400
1412,3,2,0,6,5,1988,1988,11457,576,1,0,175000
987,2,1,1,6,5,1971,1971,1680,264,0,0,85400
1198,4,1,0,6,7,1920,1998,5586,0,0,0,79900
1365,2,1,1,5,5,1971,1971,1920,440,0,0,122500
1604,3,2,1,6,5,1997,1998,10839,470,0,1,181000
630,1,1,0,4,7,1972,1972,1890,0,0,0,81000
1661,3,2,1,7,6,1996,1996,10667,550,0,1,212000
1118,2,1,0,6,8,1920,1950,4400,440,0,0,116000
904,2,1,0,6,7,1926,2004,6000,180,0,0,119000
694,2,1,0,5,6,1913,2002,4280,352,0,1,90350
1196,3,1,0,6,8,1920,2000,12354,528,0,0,110000
2402,2,2,0,10,5,2008,2008,15431,672,1,0,555000
1440,4,2,0,4,4,1955,1955,12108,0,0,0,118000
1573,3,2,0,5,7,1930,1992,6240,360,0,0,162900
1258,2,2,0,7,5,2006,2007,3922,648,0,1,172500
1908,4,2,1,7,5,1994,1995,8750,493,0,1,210000
1689,3,1,0,6,5,1956,1956,9855,480,0,0,127500
1888,2,2,1,6,6,1966,2002,16492,578,0,0,190000
1886,4,2,1,7,5,1998,1999,11214,431,0,1,199900
