age,female,education_num,hours_per_week,government,self_employed,white_collar,blue_collar,service,capital_gain,capital_loss,married,income
57,0,13,40,1,0,1,0,0,0,0,1,1
53,0,9,38,0,0,0,1,0,0,0,1,0
44,1,14,40,0,0,1,0,0,0,0,0,0
41,0,11,40,1,0,0,1,0,0,0,1,0
29,0,11,43,0,0,1,0,0,0,0,0,0
25,1,10,40,0,0,1,0,0,0,0,1,0
18,1,9,30,0,0,0,0,1,0,0,0,0
47,1,15,60,0,0,1,0,0,0,1902,1,1
50,0,13,55,1,0,1,0,0,0,0,0,1
47,0,9,60,0,1,1,0,0,0,0,0,0
43,0,10,40,0,0,1,0,0,0,0,1,1
46,0,3,40,0,0,0,1,0,0,0,1,0
35,0,11,40,0,0,0,0,1,0,0,1,0
41,0,9,48,0,0,1,0,0,0,0,1,0
30,0,9,40,0,0,0,1,0,5013,0,1,0
30,0,13,40,0,0,0,0,0,2407,0,1,0
32,0,4,40,0,0,0,0,0,0,0,0,0
48,0,9,40,0,0,0,1,0,0,0,1,0
42,0,16,45,0,0,1,0,0,0,0,1,1
29,0,10,58,0,0,1,0,0,0,0,0,0
36,0,9,40,0,0,0,1,0,0,0,1,0
28,1,10,40,0,0,1,0,0,0,0,0,0
53,1,9,40,0,0,1,0,0,0,0,1,1
49,0,10,50,0,1,1,0,0,0,0,1,1
25,0,10,40,0,0,0,0,0,0,0,0,0
19,0,10,32,0,0,1,0,0,0,0,0,0
31,1,13,40,0,0,0,0,0,0,0,0,0
29,0,13,70,0,1,0,0,0,0,0,1,1
23,0,10,40,0,0,0,1,0,0,0,0,0
79,0,10,20,0,0,1,0,0,0,0,1,0
27,0,9,40,0,0,0,0,1,0,0,0,0
40,0,12,40,0,0,1,0,0,0,0,1,0
67,0,6,2,0,0,0,0,0,0,0,1,0
18,1,7,22,0,0,0,0,1,0,0,0,0
31,0,4,40,1,0,0,1,0,0,0,1,0
18,0,9,30,0,0,0,0,0,0,0,0,0
52,0,13,40,0,0,0,0,1,0,0,1,0
46,1,9,40,0,0,0,0,1,0,0,1,0
59,0,9,48,0,0,0,0,0,0,0,1,0
44,1,9,40,0,0,0,1,0,14344,0,0,1
53,1,9,35,0,0,0,0,0,0,0,0,0
49,0,9,40,1,0,0,0,1,0,0,1,1
33,0,14,50,0,0,1,0,0,0,0,1,0
30,0,5,40,0,0,0,0,0,0,0,0,0
43,1,16,50,1,0,1,0,0,0,0,0,1
57,0,11,40,0,0,1,0,0,0,0,1,0
37,1,10,40,0,0,0,1,0,0,0,0,0
28,1,10,25,0,0,0,1,0,0,0,0,0
30,1,9,35,0,0,0,0,0,0,1573,1,0
34,0,13,40,1,0,0,0,1,0,0,1,1
29,0,10,50,1,0,0,1,0,0,0,0,0
48,0,16,60,0,1,1,0,0,0,1902,1,1
37,0,10,48,0,0,0,0,0,0,0,1,1
48,1,12,40,0,0,1,0,0,0,0,0,0
32,0,9,40,1,0,0,0,1,0,0,0,0
76,0,14,40,0,0,1,0,0,0,0,1,1
44,0,13,60,0,0,1,0,0,15024,0,1,1
47,1,14,50,0,1,1,0,0,0,0,0,0
20,1,10,40,0,0,1,0,0,0,0,0,0
29,0,9,40,0,0,0,1,0,0,0,0,0
32,0,9,40,0,1,0,1,0,7688,0,1,1
17,1,6,32,0,0,0,0,0,34095,0,0,0
30,0,7,40,0,0,0,1,0,0,0,0,0
31,1,9,40,1,0,1,0,0,0,0,0,0
42,0,9,40,0,0,0,1,0,0,0,1,0
24,0,13,40,0,0,0,0,0,0,0,0,0
38,0,15,40,0,0,1,0,0,0,0,1,1
56,0,9,50,0,1,0,0,1,0,1887,1,1
28,1,10,25,0,0,0,0,0,4064,0,1,0
36,1,9,40,0,0,0,1,0,0,0,0,0
53,0,5,50,0,0,0,1,0,0,0,1,0
56,0,10,50,0,1,0,0,0,0,0,1,0
49,0,11,40,1,0,0,1,0,0,0,1,1
55,0,10,56,0,0,0,0,0,0,0,1,0
22,0,9,41,0,0,0,1,0,0,0,0,0
21,1,10,40,0,0,0,0,1,0,0,0,0
40,0,13,60,0,0,1,0,0,0,0,1,0
30,0,13,40,0,0,1,0,0,0,0,0,0
29,0,13,50,1,0,1,0,0,0,0,1,1
19,0,10,35,0,0,0,0,1,0,0,0,0
47,1,13,40,0,0,1,0,0,0,0,1,1
20,1,10,28,0,0,1,0,0,0,1719,0,0
31,0,12,40,0,0,1,0,0,0,0,1,1
35,0,9,40,0,0,0,0,0,0,0,1,0
39,0,10,40,0,0,0,1,0,0,0,0,0
28,1,12,60,0,0,0,0,0,0,0,0,0
24,1,9,40,0,0,0,0,1,0,1762,0,0
38,0,9,35,0,1,0,1,0,4386,0,1,0
37,0,13,50,0,0,0,0,0,0,0,1,0
46,1,12,36,0,0,1,0,0,0,0,0,0
38,0,14,40,1,0,1,0,0,0,0,1,1
43,0,9,60,0,1,0,1,0,0,0,1,0
27,1,11,35,0,0,1,0,0,0,0,1,0
20,0,10,20,0,0,0,0,0,0,0,0,0
49,0,10,40,0,0,0,1,0,0,0,1,1
61,0,9,40,0,1,0,1,0,0,0,1,0
27,1,10,40,0,0,0,0,0,0,0,0,0
19,0,10,30,0,0,0,0,1,0,0,0,0
45,1,11,40,0,0,1,0,0,0,1564,0,1
70,0,10,40,0,0,1,0,0,0,0,0,0
31,1,9,30,0,0,0,1,0,0,0,0,0
22,0,10,24,0,0,0,0,1,0,0,1,0
36,1,9,24,0,0,0,0,1,0,0,0,0
64,0,7,40,0,0,0,1,0,0,2179,1,0
43,1,10,40,0,0,0,0,0,0,0,0,0
47,1,10,38,1,0,1,0,0,0,0,0,0
34,1,9,40,0,0,1,0,0,0,0,0,0
33,1,13,40,0,0,1,0,0,0,0,0,0
21,0,9,35,0,0,0,1,0,0,0,0,0
52,0,9,45,0,0,0,0,0,0,0,0,1
48,0,9,46,0,0,0,1,0,0,0,1,0
23,0,13,40,0,0,0,1,0,0,0,0,0
71,0,10,2,0,1,0,0,0,0,1816,0,0
29,0,9,60,0,0,0,1,0,0,0,0,0
42,0,13,50,0,0,0,0,1,0,0,0,0
68,1,2,20,0,0,0,0,0,0,0,0,0
25,1,9,40,0,0,0,0,1,0,0,0,0
44,1,14,40,0,1,1,0,0,0,0,0,0
28,1,9,40,0,0,1,0,0,0,0,0,0
45,0,14,40,0,1,0,0,0,0,0,1,1
36,1,10,40,0,0,0,0,1,0,0,0,0
39,0,12,42,1,0,1,0,0,0,0,0,0
46,0,14,40,1,0,0,0,1,0,0,0,0
18,0,7,16,0,0,0,1,0,0,0,0,0
66,1,11,20,1,0,1,0,0,0,0,0,0
27,0,9,40,0,0,0,0,1,0,1980,0,0
28,0,9,40,1,0,0,0,1,0,0,1,0
51,0,10,40,0,0,0,0,0,0,1977,1,1
27,0,13,50,0,0,0,1,0,0,0,0,0
28,0,13,40,1,0,1,0,0,0,0,1,1
27,1,9,25,0,0,0,0,0,0,0,0,0
21,0,9,40,0,0,0,1,0,0,0,0,0
34,0,9,40,0,0,0,1,0,0,0,0,0
18,0,9,12,0,0,0,0,1,0,0,0,0
33,0,13,65,0,0,1,0,0,0,0,1,0
44,0,10,38,1,0,1,0,0,0,0,1,1
43,1,10,40,0,0,1,0,0,0,0,0,0
30,0,10,45,0,0,0,1,0,0,0,0,0
40,0,4,40,0,0,0,1,0,0,0,1,1
37,0,10,42,1,0,1,0,0,0,0,1,1
34,0,9,40,0,0,1,0,0,0,0,1,0
41,1,13,40,0,1,1,0,0,0,0,0,0
53,1,13,50,0,0,0,0,0,0,0,0,0
31,1,14,50,0,0,1,0,0,0,0,1,0
58,0,16,1,1,0,1,0,0,0,0,1,1
38,1,10,28,0,0,0,1,0,0,0,0,0
24,0,10,40,0,0,0,1,0,0,0,1,0
41,0,13,40,1,0,0,1,0,0,0,1,0
47,0,10,45,0,0,1,0,0,0,0,1,0
41,0,13,24,1,0,1,0,0,0,0,1,0
23,0,3,40,0,0,0,1,0,0,0,1,0
36,0,10,40,0,0,0,1,0,0,0,0,0
40,1,14,55,1,0,1,0,0,14084,0,0,1
35,0,14,40,0,0,1,0,0,7298,0,1,1
24,0,9,40,0,1,0,0,0,0,0,0,0
26,1,14,40,0,0,1,0,0,0,1876,0,0
19,0,9,40,0,0,0,0,0,0,0,0,0
51,0,13,50,0,0,1,0,0,0,0,1,1
42,1,10,40,1,0,1,0,0,0,1340,0,0
37,1,9,35,1,0,1,0,0,0,0,0,0
18,1,7,40,0,0,0,0,0,0,0,0,0
36,0,13,36,0,0,0,0,1,7298,0,1,1
35,0,9,60,0,0,0,1,0,0,0,0,0
58,1,9,35,0,1,0,0,0,15024,0,1,1
17,1,7,12,0,0,0,0,0,0,0,0,0
44,0,9,40,1,0,0,1,0,0,0,1,0
37,0,9,40,0,0,0,1,0,0,0,1,1
35,1,10,40,0,0,0,0,0,0,0,0,0
60,0,9,40,0,0,0,1,0,0,0,1,0
54,0,4,40,0,1,0,1,0,0,0,1,1
37,0,13,60,0,0,1,0,0,0,0,0,1
50,1,12,40,0,0,0,0,0,0,0,0,0
38,0,13,50,0,0,0,0,0,0,0,1,0
45,0,13,55,0,0,1,0,0,0,0,1,0
25,0,6,40,0,0,0,1,0,0,0,0,0
31,0,10,40,0,0,0,1,0,0,0,1,0
64,0,2,40,0,0,0,0,0,0,0,0,0
90,0,9,40,0,0,0,0,1,0,2206,0,0
54,0,9,20,0,0,1,0,0,0,0,1,0
53,1,1,35,1,0,0,1,0,0,0,0,0
18,1,9,40,0,0,0,0,0,0,0,0,0
60,1,6,10,0,0,0,0,0,0,0,0,0
66,0,9,50,0,1,0,1,0,1409,0,1,0
75,1,11,20,0,0,1,0,0,0,0,0,0
65,1,9,40,0,0,1,0,0,0,0,0,0
35,0,7,40,0,0,0,1,0,3674,0,0,0
41,1,9,38,0,0,0,0,0,0,0,0,0
25,0,10,42,0,0,1,0,0,0,0,0,0
33,1,10,40,0,0,0,1,0,0,0,0,0
28,0,15,55,0,0,1,0,0,0,0,0,1
59,0,9,40,1,0,0,0,1,0,0,1,0
40,1,10,38,1,0,1,0,0,0,0,0,0
41,0,13,50,0,0,1,0,0,0,0,1,1
38,0,14,70,1,0,1,0,0,0,0,1,1
23,0,9,40,0,0,0,1,0,0,0,0,0
40,0,13,40,0,0,1,0,0,0,0,1,1
41,1,9,20,0,1,0,0,1,0,0,1,0
24,0,12,50,1,0,0,0,1,0,0,1,0
20,0,10,20,0,0,0,0,0,0,0,0,0
38,0,10,40,0,0,0,1,0,0,1741,0,0
56,0,9,35,0,0,1,0,0,0,0,1,0
58,0,9,45,0,0,1,0,0,0,0,1,1
32,1,9,34,0,0,0,0,1,0,0,0,0
40,0,12,60,0,0,1,0,0,0,1977,1,1
45,0,9,40,0,0,1,0,0,0,0,1,0
41,1,15,40,0,0,1,0,0,0,0,1,1
42,1,13,40,0,0,1,0,0,0,0,1,0
59,1,6,30,1,0,0,0,1,0,0,0,0
19,0,10,40,1,0,1,0,0,0,0,0,0
58,0,10,20,0,0,0,1,0,0,0,0,0
42,0,9,40,0,1,0,1,0,0,0,1,1
20,1,9,40,0,0,0,0,1,0,0,0,0
32,1,9,30,0,0,0,0,1,0,0,0,0
45,1,11,45,0,0,1,0,0,0,0,0,0
50,0,4,40,0,0,0,1,0,0,0,0,0
36,1,13,40,0,0,1,0,0,0,0,0,0
45,0,9,60,0,0,0,0,0,0,0,1,0
17,0,7,12,0,0,0,0,1,0,0,0,0
59,0,10,40,0,0,0,0,0,4064,0,1,0
26,0,7,40,0,0,0,1,0,0,0,1,0
37,0,10,75,0,1,1,0,0,0,0,1,1
19,0,10,24,0,0,0,0,0,0,0,0,0
64,0,9,40,0,0,1,0,0,0,0,1,1
33,1,13,45,0,0,1,0,0,0,0,0,0
33,1,9,40,0,0,0,1,0,0,0,1,1
61,0,9,40,0,0,1,0,0,0,0,1,1
17,0,5,24,0,0,0,0,1,1055,0,0,0
50,0,14,98,0,1,0,1,0,2407,0,1,0
27,0,14,35,1,0,1,0,0,0,0,0,0
30,1,9,40,0,0,1,0,0,0,0,0,0
43,0,9,40,0,0,0,1,0,0,0,1,0
44,0,10,40,0,0,0,1,0,7298,0,1,1
35,1,10,40,0,0,1,0,0,0,0,0,0
25,1,10,40,0,0,1,0,0,0,0,0,0
24,1,10,48,0,0,0,1,0,7298,0,1,1
22,1,13,15,0,0,1,0,0,0,0,0,0
42,0,10,40,1,0,0,1,0,5178,0,1,1
34,1,12,45,0,0,0,0,0,0,0,0,0
60,1,13,42,0,0,1,0,0,0,0,0,0
21,0,9,40,0,0,0,1,0,0,0,0,0
57,0,14,40,1,0,0,0,0,15024,0,1,1
41,0,15,60,0,0,1,0,0,0,0,1,1
50,0,10,45,0,0,0,0,1,0,0,0,0
25,1,13,40,0,0,1,0,0,0,0,0,0
50,0,4,40,0,0,0,1,0,0,0,1,0
36,0,13,45,0,0,1,0,0,0,0,1,0
31,1,9,40,0,0,1,0,0,0,0,0,0
29,0,13,56,1,0,0,0,1,0,0,0,0
21,0,10,45,0,0,0,0,0,0,0,0,0
27,1,13,40,0,0,1,0,0,0,0,0,0
65,0,9,16,0,0,0,1,0,0,0,1,0
37,1,13,60,0,1,0,0,0,0,0,0,0
39,1,14,40,0,0,0,0,0,3464,0,1,0
24,0,9,40,0,0,0,1,0,0,0,0,0
38,0,9,80,0,0,0,0,0,0,0,0,0
48,0,13,40,0,0,1,0,0,7688,0,1,1
21,1,10,25,0,0,0,0,1,0,0,0,0
31,0,9,45,0,0,0,1,0,0,0,1,1
55,0,9,40,0,0,0,0,0,4386,0,1,1
24,1,10,40,0,0,1,0,0,0,0,1,0
43,1,9,40,0,0,1,0,0,0,0,0,0
26,0,12,45,0,0,1,0,0,0,0,0,0
46,1,12,33,0,0,1,0,0,0,0,0,0
35,0,12,40,0,0,1,0,0,0,0,1,1
41,0,10,54,0,1,0,1,0,0,0,1,1
26,0,13,40,0,0,0,0,0,0,0,0,0
34,0,14,35,0,0,1,0,0,7298,0,1,1
19,1,10,25,0,0,0,0,0,0,0,0,0
36,1,13,40,0,1,1,0,0,0,0,0,1
22,0,10,15,0,0,0,0,0,0,0,0,0
24,0,10,40,0,0,0,1,0,0,0,0,0
77,0,10,40,0,1,0,0,0,0,0,1,0
22,1,3,40,0,0,0,1,0,0,0,1,0
29,1,10,40,0,0,1,0,0,0,0,0,0
62,1,9,24,0,0,0,0,1,0,0,0,0
39,0,9,40,0,1,1,0,0,0,0,1,0
43,0,10,50,0,0,0,1,0,0,1485,1,0
35,0,9,45,0,0,0,1,0,0,0,0,0
29,1,7,40,0,0,1,0,0,0,0,0,0
76,0,14,10,0,1,0,1,0,0,0,1,0
63,0,9,45,0,1,0,1,0,0,0,1,0
23,1,11,15,0,0,0,0,0,0,0,0,0
43,1,10,50,0,0,1,0,0,0,1887,1,1
58,0,9,40,0,1,0,1,0,0,0,1,0
66,0,9,55,0,0,0,1,0,2050,0,0,0
41,0,10,45,0,0,0,1,0,0,0,0,0
26,0,13,40,0,0,1,0,0,0,0,0,0
47,0,11,40,0,0,0,0,1,0,0,0,0
55,0,6,40,1,0,1,0,0,0,0,1,0
53,0,9,40,0,0,0,1,0,0,0,1,0
17,0,3,48,0,0,0,0,1,0,0,0,0
30,0,9,40,0,0,0,1,0,0,0,0,0
49,0,14,60,0,0,1,0,0,0,0,0,0
19,0,9,30,0,0,0,0,0,0,0,0,0
45,0,9,40,0,0,0,0,1,0,0,1,0
26,0,12,40,0,0,0,0,0,0,0,0,0
38,0,11,40,0,0,0,1,0,7298,0,1,1
36,0,9,40,1,0,0,0,1,7298,0,1,1
33,0,9,20,0,0,0,1,0,0,0,0,0
22,1,10,40,1,0,0,0,1,0,0,0,0
43,0,13,42,0,1,0,0,0,0,0,0,0
67,0,7,8,0,0,0,0,0,0,0,1,0
30,1,11,40,0,0,0,0,0,0,0,0,0
56,0,12,25,0,0,0,0,1,0,0,0,0
31,0,13,25,0,0,1,0,0,0,0,0,0
33,0,13,40,0,0,1,0,0,0,0,1,1
26,0,9,40,0,0,0,0,1,0,0,1,0
33,0,13,40,0,0,1,0,0,0,0,1,1
46,0,7,30,1,0,0,1,0,0,0,1,0
59,0,13,40,0,0,0,0,0,0,0,1,1
38,0,9,40,1,0,1,0,0,0,0,1,1
65,0,7,40,0,0,0,0,1,0,0,0,0
40,0,11,40,0,0,1,0,0,0,0,1,1
42,1,9,35,0,0,1,0,0,0,0,1,0
26,0,5,40,0,1,0,1,0,0,0,1,0
36,1,6,24,0,0,0,0,1,0,0,1,0
62,0,14,40,0,0,1,0,0,0,0,1,1
43,0,13,45,0,0,0,1,0,0,0,1,0
43,0,13,45,0,0,1,0,0,0,1564,0,1
22,0,9,55,0,0,0,0,0,0,0,0,0
28,0,9,40,0,0,0,1,0,0,0,1,0
56,0,10,45,0,1,0,0,0,0,0,1,0
22,1,12,15,0,0,0,0,0,0,0,0,0
57,1,13,45,0,0,1,0,0,0,0,0,1
39,1,9,40,0,0,0,0,0,0,0,0,0
26,1,10,15,1,0,1,0,0,0,0,0,0
17,0,7,10,0,0,0,0,1,0,0,0,0
40,0,11,38,1,0,0,1,0,0,0,1,1
45,0,9,40,0,0,0,1,0,0,0,1,0
44,0,9,40,0,0,0,1,0,0,0,0,0
20,1,10,10,1,0,1,0,0,0,0,0,0
33,1,9,40,0,0,0,1,0,0,0,1,0
23,0,10,40,0,0,0,0,0,0,0,0,0
46,0,14,30,0,1,1,0,0,0,0,0,0
38,0,9,50,0,0,0,0,0,0,0,1,0
54,0,9,40,0,0,0,1,0,0,0,0,0
46,1,3,45,0,0,0,1,0,0,2339,0,0
25,0,10,40,0,0,0,1,0,0,0,1,0
46,1,10,40,0,0,0,0,0,0,0,0,0
36,1,10,40,1,0,0,1,0,0,0,1,0
23,1,9,25,0,0,0,0,1,0,0,0,0
29,0,9,40,0,0,0,1,0,0,0,0,0
44,1,10,6,0,0,1,0,0,0,2415,1,1
19,1,10,16,0,0,1,0,0,0,0,0,0
19,1,9,40,0,0,0,0,1,0,0,0,0
35,1,9,40,0,0,0,0,1,0,0,1,1
27,0,13,50,0,0,0,1,0,0,0,0,0
46,0,12,40,0,1,0,1,0,0,0,0,0
34,0,13,45,1,0,1,0,0,7688,0,1,1
34,1,9,35,0,0,0,0,1,0,0,0,0
44,0,10,40,0,0,1,0,0,0,0,1,0
45,1,10,40,0,0,0,1,0,0,0,0,0
20,1,9,35,0,0,0,0,0,0,0,0,0
25,0,13,55,0,0,1,0,0,0,0,1,1
52,0,13,50,0,1,1,0,0,0,0,1,1
20,0,10,40,0,0,0,1,0,0,0,0,0
28,1,10,40,0,0,0,0,1,0,0,0,0
50,0,13,40,1,0,0,0,1,0,0,1,1
34,1,11,64,0,0,1,0,0,0,0,0,0
28,0,4,40,0,0,0,1,0,0,2179,1,0
41,0,14,65,0,0,1,0,0,0,1977,1,1
28,0,9,40,0,0,1,0,0,0,0,1,0
46,0,9,25,0,1,0,1,0,0,0,1,0
28,1,10,40,0,0,0,0,0,0,1887,1,1
32,0,10,50,0,0,1,0,0,0,0,1,0
41,1,10,24,1,0,0,0,1,0,0,0,0
24,1,9,40,0,0,0,1,0,0,0,0,0
33,1,10,40,0,0,1,0,0,0,0,0,0
46,0,16,60,0,0,1,0,0,15024,0,1,1
31,0,10,40,1,0,0,1,0,0,0,1,0
35,0,8,50,0,0,0,1,0,0,0,0,1
52,0,2,40,0,0,0,1,0,0,0,1,0
30,1,7,19,0,0,0,0,1,0,0,0,0
34,0,7,40,1,0,0,1,0,0,0,0,0
34,1,9,40,1,0,0,1,0,0,0,0,0
20,0,10,30,0,0,0,0,0,0,0,1,0
17,0,7,18,0,0,0,1,0,2176,0,0,0
32,1,13,40,1,0,1,0,0,0,0,1,1
29,0,9,40,0,0,0,1,0,0,0,0,0
33,1,6,35,0,0,0,1,0,0,0,0,0
25,0,9,60,0,0,0,1,0,0,0,1,0
36,0,14,40,1,0,1,0,0,0,1408,0,0
23,0,9,72,0,0,0,1,0,0,0,0,0
63,0,9,40,0,1,1,0,0,0,0,1,1
47,0,14,40,1,0,1,0,0,0,0,1,0
80,0,9,24,0,0,0,0,0,0,0,0,0
17,0,7,40,0,0,0,0,0,0,0,0,0
40,1,13,40,0,1,1,0,0,2174,0,0,0
30,1,12,25,0,0,0,0,1,0,0,1,1
27,0,10,40,0,0,0,1,0,0,1980,0,0
33,0,14,50,0,0,1,0,0,0,0,1,1
34,0,9,60,1,0,0,1,0,594,0,0,0
34,1,10,40,1,0,0,0,1,0,0,0,0
23,0,10,40,0,0,1,0,0,0,0,1,0
42,1,10,40,1,0,1,0,0,0,0,1,0
29,0,13,40,0,0,1,0,0,0,0,0,0
45,1,9,28,0,0,1,0,0,0,0,0,0
24,0,9,40,1,0,0,0,1,0,0,0,0
44,0,10,40,0,0,1,0,0,0,0,1,1
27,0,5,40,0,0,0,1,0,0,0,0,0
20,0,10,35,0,0,0,0,0,0,0,0,0
44,1,9,40,0,0,1,0,0,0,0,0,0
51,0,9,40,0,0,0,1,0,0,0,1,0
20,0,9,40,0,0,0,1,0,0,0,1,0
17,1,7,5,0,0,0,0,0,0,0,0,0
19,1,9,40,0,0,0,1,0,0,0,0,0
45,0,10,55,0,1,0,1,0,0,0,1,1
60,0,9,40,0,0,0,1,0,0,0,1,1
42,0,12,40,0,0,1,0,0,0,0,1,1
44,1,9,40,0,1,0,0,0,0,0,1,1
40,0,11,40,0,0,0,1,0,0,0,1,1
30,1,9,40,0,0,1,0,0,0,0,1,0
38,0,10,50,0,0,0,1,0,0,0,1,0
23,0,9,60,0,0,0,1,0,0,0,1,0
32,0,10,40,0,0,0,0,0,0,0,1,0
44,0,12,40,0,0,0,1,0,0,0,0,0
54,0,9,40,1,0,0,1,0,0,0,1,0
32,0,13,50,0,0,1,0,0,0,0,1,0
50,0,2,40,0,0,0,1,0,0,0,0,0
24,1,13,20,0,0,1,0,0,0,0,0,0
37,1,9,60,0,0,1,0,0,0,0,1,0
52,0,9,40,0,0,0,1,0,0,0,0,0
38,0,10,40,0,0,0,1,0,0,0,1,0
49,0,14,45,0,0,1,0,0,0,1977,1,1
30,1,13,16,0,0,1,0,0,0,0,1,1
60,0,10,40,0,0,1,0,0,0,0,0,1
22,0,10,40,0,0,0,0,0,0,0,0,0
35,0,9,40,0,0,0,1,0,0,0,0,0
30,0,9,60,0,0,0,1,0,0,0,0,0
67,1,11,24,0,0,0,0,1,0,0,0,0
46,1,13,40,0,0,0,1,0,0,0,0,0
17,0,5,6,0,0,0,0,1,0,0,0,0
22,0,10,30,0,0,0,1,0,0,0,0,0
27,0,6,40,0,0,0,0,1,0,0,0,0
23,1,9,35,0,0,0,0,1,0,0,0,0
33,0,12,45,0,0,0,1,0,0,0,1,0
43,0,10,20,0,1,0,1,0,0,0,1,0
28,0,13,20,1,0,1,0,0,0,0,0,0
41,1,9,40,0,0,0,1,0,0,0,0,0
52,0,8,40,0,0,0,0,0,594,0,0,0
25,1,10,20,0,0,1,0,0,0,0,0,0
63,0,2,35,0,0,0,0,0,0,0,1,0
59,0,9,45,1,0,0,1,0,0,0,1,0
45,1,13,40,1,0,1,0,0,0,0,0,0
38,0,13,60,0,0,0,0,0,15024,0,1,1
40,1,9,35,0,0,0,0,1,0,0,0,0
46,0,9,40,1,0,1,0,0,0,0,0,0
35,1,12,60,0,0,1,0,0,0,0,0,0
34,1,9,25,0,0,1,0,0,0,0,0,0
33,0,13,20,0,0,0,1,0,0,0,0,0
41,1,9,36,0,0,1,0,0,0,0,0,0
20,0,10,40,0,0,0,1,0,0,0,0,0
23,0,3,40,0,0,0,0,1,0,0,0,0
26,1,10,35,0,0,1,0,0,0,0,0,0
72,0,9,20,0,0,0,0,0,0,0,1,0
23,0,9,40,1,0,0,1,0,0,0,0,0
62,0,9,40,1,0,0,1,0,0,0,1,0
52,0,10,40,0,0,1,0,0,0,0,1,0
58,1,10,42,0,0,0,0,1,0,0,0,0
25,1,13,40,0,0,0,0,0,0,0,0,0
24,0,13,40,0,0,1,0,0,0,0,0,0
19,0,10,8,0,0,0,0,1,0,0,0,0
43,0,10,40,0,0,1,0,0,0,0,1,0
47,1,9,40,1,0,1,0,0,0,0,0,0
39,1,9,40,0,0,0,0,1,0,0,0,0
49,0,11,42,0,0,0,1,0,0,1380,0,0
53,1,3,30,0,0,0,0,0,0,0,0,0
32,0,11,45,0,0,0,1,0,0,0,0,0
34,0,10,50,0,0,1,0,0,0,0,1,1
28,0,9,45,0,0,0,1,0,0,0,0,0
57,1,11,38,0,0,0,0,0,0,0,0,0
25,1,10,20,0,0,1,0,0,0,0,0,0
20,0,10,24,0,0,0,0,0,0,0,0,0
21,1,10,35,0,0,0,0,0,0,0,0,0
34,0,13,50,0,0,1,0,0,0,0,1,1
38,0,13,80,0,1,1,0,0,15024,0,1,1
50,0,9,50,0,0,1,0,0,7688,0,1,1
24,0,10,50,1,0,0,1,0,0,0,0,0
37,0,10,45,1,0,1,0,0,0,0,1,1
44,0,10,58,0,0,0,1,0,0,0,0,1
28,1,10,40,0,0,0,0,0,0,0,1,0
42,0,13,40,0,0,1,0,0,0,0,1,1
74,1,10,9,0,0,1,0,0,0,0,0,0
38,0,9,50,0,1,0,1,0,0,0,1,0
44,0,14,40,0,1,1,0,0,0,0,1,0
44,1,7,46,0,0,0,1,0,0,0,0,0
